Date,Consumer_price
20200601,97455
20200602,98663
20200603,100029
20200604,101097
20200605,100238
20200608,98286
20200609,99211
20200610,99689
20200611,99263
20200612,99337
20200615,98872
20200616,100493
20200617,100048
20200618,99875
20200619,100003
20200622,100575
20200623,100575
20200624,100039
20200625,101974
20200626,101889
20200629,101503
20200630,102260
20200701,102517
20200702,101973
20200703,101397
20200706,101034
20200707,100870
20200708,100624
20200709,100117
20200710,99657
20200713,99657
20200714,100371
20200715,100142
20200716,100925
20200717,100925
20200720,101406
20200721,100761
20200722,100020
20200723,99633
20200724,99325
20200727,99856
20200728,100896
20200729,100107
20200730,98693
20200731,98437
20200803,98903
20200804,99537
20200805,99146
20200806,99410
20200807,100521
20200810,99638
20200811,99809
20200812,99506
20200813,102146
20200814,101803
20200817,101803
20200818,101474
20200819,102441
20200820,101348
20200821,100693
20200824,100797
20200825,101737
20200826,101452
20200827,100744
20200828,98448
20200831,97411
20200901,97964
20200902,99735
20200903,98968
20200904,100596
20200907,99845
20200908,99845
20200909,100293
20200910,101803
20200911,101835
20200914,101890
20200915,101520
20200916,101159
20200917,101277
20200918,101277
20200921,102752
20200922,103327
20200923,103933
20200924,104347
20200925,104894
20200928,104747
20200929,104188
20201002,104188
20201005,104077
20201006,104048
20201007,104048
20201008,103015
20201012,101315
20201013,101573
20201014,100496
20201015,100496
20201016,99381
20201019,99381
20201020,100696
20201021,100696
20201022,100532
20201023,100291
20201026,100291
20201027,101117
20201028,100641
20201029,102512
20201030,100412
20201102,103225
20201103,104386
20201104,104386
20201105,103723
20201106,103252
20201109,103956
20201110,103956
20201111,104548
20201112,104779
20201113,105097
20201116,104310
20201117,104310
20201118,104310
20201119,104355
20201120,103206
20201123,103794
20201124,104593
20201125,103794
20201126,102445
20201127,101510
20201130,101900
20201201,101727
20201202,102613
20201203,102473
20201204,102473
20201207,102579
20201208,102523
20201209,102381
20201210,102600
20201211,101531
20201214,101909
20201215,102600
20201216,101297
20201217,100421
20201218,100207
20201221,100373
20201222,101760
20201223,101134
20201224,98115
20201228,97438
20201229,98756
20201230,98154
20201231,98811
20210104,101847
20210105,101347
20210106,102159
20210107,101397
20210108,100778
20210111,101294
20210112,100870
20210113,101210
20210114,102550
20210115,102274
20210118,103266
20210119,103266
20210120,103266
20210121,101816
20210122,100154
20210125,100976
20210126,100011
20210127,100115
20210128,99076
20210129,99076
20210201,99140
20210202,100226
20210203,100781
20210204,101448
20210205,101448
20210208,100604
20210209,99028
20210210,99642
20210215,98381
20210216,99987
20210217,100519
20210218,99705
20210219,101378
20210222,100814
20210223,101723
20210224,101723
20210225,102746
20210226,100413
20210301,100413
20210302,102004
20210303,101356
20210304,101619
20210305,102070
20210308,102070
20210309,101316
20210310,101676
20210311,101250
20210312,101663
20210315,101663
20210316,102104
20210317,102134
20210318,101461
20210319,101590
20210322,103084
20210323,102223
20210324,100472
20210325,100604
20210326,100604
20210329,100900
20210330,100363
20210331,100363
20210401,98446
20210402,98479
20210405,99291
20210406,98820
20210407,100072
20210408,98424
20210409,97424
20210412,98424
20210413,97154
20210414,96508
20210415,99393
20210416,103052
20210419,103090
20210420,103653
20210421,101483
20210422,99416
20210423,99496
20210426,100116
20210427,102063
20210428,99704
20210429,102890
20210430,103213
20210503,103350
20210504,103350
20210505,103350
20210506,101766
20210507,98204
20210510,99628
20210511,99572
20210512,98814
20210513,101704
20210514,102711
20210517,101658
20210518,100964
20210519,100964
20210520,98550
20210521,98550
20210524,99848
20210525,101204
20210526,102171
20210527,99613
20210528,101288
20210531,102462
20210601,102462
20210602,100807
20210603,103129
20210604,103129
20210607,103774
20210608,103774
20210609,103834
20210610,101493
20210611,100445
20210614,103170
20210615,102664
20210616,100031
20210617,97427
20210618,98148
20210621,100757
20210622,101058
20210623,101058
20210624,99529
20210625,100456
20210628,103543
20210629,103543
20210630,103207
20210701,102787
20210702,103239
20210705,102693
20210706,102296
20210707,102826
20210708,103630
20210709,103893
20210712,105131
20210713,105650
20210714,104834
20210715,98167
20210716,97173
20210719,97531
20210720,98221
20210721,98300
20210722,99846
20210723,98421
20210726,100343
20210727,100343
20210728,100343
20210729,95163
20210730,95516
20210802,95163
20210803,95916
20210804,95758
20210805,97181
20210806,97181
20210809,96932
20210810,97588
20210811,98088
20210812,101823
20210813,100881
20210816,100881
20210817,100958
20210818,100343
20210819,100091
20210820,99429
20210823,100510
20210824,100510
20210825,101110
20210826,100179
20210827,100926
20210830,100926
20210831,101079
20210901,100715
20210902,102923
20210903,102882
20210906,101380
20210907,101465
20210908,99935
20210909,98315
20210910,98315
20210913,100156
20210914,103696
20210915,105308
20210916,104448
20210917,104205
20210923,103345
20210924,102385
20210927,105342
20210928,106315
20210929,107481
20210930,109146
20211001,108521
20211004,108521
20211005,109578
20211006,110432
20211007,109125
20211008,110408
20211011,110408
20211012,112068
20211013,111789
20211014,111744
20211015,110796
20211018,111844
20211019,111492
20211020,111017
20211021,110896
20211022,112172
20211025,113196
20211026,112613
20211027,111340
20211028,108976
20211029,109689
20211101,107727
20211102,109504
20211103,111152
20211104,110774
20211105,110774
20211108,110996
20211109,111070
20211110,111548
20211111,109648
20211112,109804
20211115,109884
20211116,109852
20211117,109612
20211118,100976
20211119,100976
20211122,100130
20211123,98845
20211124,99649
20211125,107114
20211126,105446
20211129,105704
20211130,107383
20211201,106504
20211202,107235
20211203,107235
20211206,106987
20211207,107604
20211208,108654
20211209,107823
20211210,107384
20211213,108754
20211214,109046
20211215,108942
20211216,107936
20211217,108505
20211220,107300
20211221,108035
20211222,107300
20211223,110704
20211224,109576
20211227,109225
20211228,110865
20211229,112019
20211230,111396
20211231,111396
20220103,111980
20220104,112090
20220105,111780
20220106,111800
20220107,111990
20220110,112010
20220111,112180
20220112,111940
20220113,112270
